country,current_2022_millions,predicted_2025_millions,growth_percent
Central African Republic,0.59869,10.51657578704112,1656.5978698560389
Thailand,1.75986,30.396589251959085,1627.2163269782304
Israel,0.01185,0.05647378573633177,376.57203153022596
Qatar,2.9514099999999996,9.437076359510002,219.74806480665183
Spain,2.35804,6.907206571482675,192.92151835773248
Poland,2.32606,6.545749501534203,181.40931452904064
Greece,0.90643,2.4632620013776148,171.75424482614378
Burkina Faso,0.6928200000000001,1.8122811424268832,161.5803733187383
Cameroon,0.06595999999999999,0.17210235715128164,160.91928009593946
Zimbabwe,0.28356,0.726447857167912,156.18841062488085
